,Frequency
峰,239
---,239
预示,239
惊讶,239
没动,239
理性,238
贵,238
想问,238
太阳,238
紧张,238
生产,238
忘了,238
拔,238
美好,238
他妈,238
补完,238
帐户,237
恐,237
石墨烯,237
抖,237
柱,237
遭,236
跟踪,236
黑天鹅,236
V',236
养,236
场外,236
发出,236
消化,236
山,236
走起,235
国联证券,235
来袭,235
平稳,234
极限,234
不好意思,234
天气,234
日期,234
一季度,233
扬,233
娘,233
油价,233
注,233
出炉,233
全民,232
拜,232
海南,232
逆回购,232
可笑,232
有种,232
教,232
难得,232
分析师,232
动向,231
之内,231
打到,231
撑着,231
城,231
好日子,231
日经,231
获得,230
错误,230
别急,230
阶段性,230
更惨,230
新股申购,230
背,230
举手,230
跌势,229
招商,229
铜,229
买房,229
邦,229
属,228
究竟,228
自主,228
特点,228
天齐,228
宇宙,228
剧本,228
带着,228
军,228
大幅度,228
配方,227
计算,227
共,227
走完,227
眼前,227
架势,227
伤,227
绝不,226
调研,226
高新,226
坚守,226
华夏,226
最重要,226
鼓,226
大师兄,226
呈现,226
疯涨,226
陷阱,226
央企,226
问问,226
搞得,225
聊,225
回避,225
不一定,225
距离,225
碳排放,225
圈钱,225
态势,225
能到,225
强力,225
纯,225
原则,225
广,225
肩,225
平衡,224
坑爹,224
微涨,224
爆炒,224
酱油,223
眼睛,223
真不,223
折,223
扩大,223
还差,223
换手率,223
姿势,223
卖点,222
如今,222
打折,222
太假,222
恒生,222
高科技,222
通知,222
大市,221
好戏,221
飘红,221
陪,221
大票,221
口罩,221
还行,221
进一步,221
狠狠,221
现实,221
在手,221
老铁,220
节日,220
贱,220
耗子,220
拥抱,220
开车,220
死翘翘,220
三个点,220
st,220
再一,220
不算,220
蹦,220
瀑布,220
轻易,220
不出意外,220
人心,219
复,219
'ST,219
断,219
大面,219
对冲,219
惨烈,219
传说中,219
四大,218
好不好,218
合,218
复星,218
靴子,218
看起来,218
做梦,217
拉大,217
躲,217
相当,217
投入,217
越大,217
专治,217
背后,217
再创新高,217
走两步,217
很惨,216
长腿,216
玻尿酸,216
孙子,216
解析,216
大象,216
前瞻,216
迅速,216
利益,216
被骗,216
尾市,216
指日可待,216
死人,216
饭,215
老股民,215
适当,215
扯,215
看吧,215
倒霉,215
古,215
持续性,215
提升,215
包钢,214
劳资,214
拼,214
鑫,214
金额,214
网络,214
上调,214
坚,213
了解,213
速,213
中长线,213
纳斯达克,212
再战,212
新规,212
勉强,212
混,212
扛不住,212
回购,212
茅台酒,212
回流,212
园林,212
燃气,211
耍,211
山东,211
天量,211
祸,211
新年快乐,211
抱拳,211
挨,211
压制,210
争取,210
规划,209
主流,209
剑指,209
老板,209
碳交易,209
碗,209
玩玩,209
财神,209
搞不懂,208
失守,208
国企改革,208
赛,208
相,208
企,208
阳光,208
必读,208
好说,208
理,208
本质,208
裤衩,208
暴发,208
坚挺,208
快要,207
味,207
永泰,207
沒,207
帮忙,207
地球,207
黄斌汉,207
淡定,207
僵尸,207
镍,207
丶,207
发行价,207
中金公司,207
图片,207
充裕,207
脱离,206
指点,206
休,206
送给,206
发表,205
汁,205
死气沉沉,205
分时图,205
不急,205
人为,205
触底,205
下个月,205
银河,205
N,205
仅仅,205
德行,205
看似,205
五连,205
冲动,205
即可,205
传统,204
重演,204
测试,204
大国,204
假摔,204
真难,204
分之一,204
风电,204
惯性,204
证券公司,204
构筑,204
越高,204
纸,203
阿里,203
看点,203
难度,203
拐,203
相似,202
拿住,202
神马,202
绿绿,202
百度,202
遇到,202
提到,202
壳,201
玩死,201
到达,201
强行,201
集成电路,201
啥意思,201
调查,201
'M,201
稀,201
偷袭,201
端午,201
对不起,201
想买,201
跟进,200
理财,200
重仓股,200
优,200
北方,200
停止,200
给出,200
汇率,200
过不去,200
动能,200
痛苦,200
城市,199
崩溃,199
逆市,199
强劲,199
购,199
欢,199
董事长,199
猛涨,198
快逃,198
走好,198
强者,198
逾,198
横久,198
造假,198
司马懿,198
玩法,198
江,198
没关系,198
理想,197
失,197
端午节,197
东财,197
人均,197
擦,197
双节,197
解决,197
关口,197
教育,197
标普,197
捂,197
干什么,196
晚报,196
平仓,196
自救,196
升值,196
缺钱,196
政府,196
大亏,195
要点,195
创造,195
当时,195
佳,195
天大,195
很少,195
创出,195
心理,195
协,195
针,195
技术指标,194
垃,194
见好就收,194
怎么说,194
顶不住,194
早已,194
吹响,194
只剩,194
意见,194
中旬,193
金属,193
稀里哗啦,193
消灭,193
神秘,193
网上,193
心碎,193
扫货,193
场内,193
巨量,193
感恩,193
城镇化,193
二月,193
鸡肋,193
国轩高科,193
却是,193
综合,192
挖掘,192
上扬,192
艹,192
维稳,192
靠谱,192
防止,192
跑不了,192
熬,191
方案,191
忘记,191
不下,191
醒醒,191
泻,191
越来越少,191
早安,191
冲关,191
暂停,191
人寿,191
仔细,191
预告,191
玛,191
拉不动,191
寒,190
稳稳,190
鼓励,190
砸下,190
海天,190
没见,190
热闹,190
再上,189
可悲,189
看图,189
真会,189
国债,189
好玩,189
三季度,189
宜,189
来来来,189
接受,189
恐怕,189
差点,189
大好,188
无忧,188
怕什么,188
貌似,188
频繁,188
码,188
举,188
评级,188
犬,188
紧,188
即将来临,187
行动,187
公平,187
见红,187
冲进去,187
太狠,187
沥青,187
硬撑,187
大赚,187
发抖,187
债务,187
遍地,186
孩子,186
比例,186
短暂,186
伤害,186
深成指,186
倒计时,186
下手,186
名单,186
有利,186
关心,186
锂电,186
说实话,185
盛,185
地上,185
中秋,185
人人,185
不宜,185
太好了,184
权,184
南京,184
阴包,184
小米,184
瓶,184
多多,184
作用,184
良好,184
跌穿,184
指标股,184
机遇,184
很久,184
神仙,184
紧急,184
套套,184
火爆,184
允许,184
威,184
规模,183
下月,183
借口,183
悄悄,183
京东,183
笑死,183
试试,183
浪费,183
摔,183
玩完,183
之中,183
服务,183
左,183
颈线,183
才怪,183
入股,182
年末,182
制药,182
链,182
广发,182
率先,182
任性,182
奇,182
出场,182
不破不立,182
走弱,182
乖乖,181
难以,181
好不容易,181
总会,181
想到,181
发动,181
永远都是,181
航,181
好时机,181
趴下,181
郑州,181
光头,180
不一,180
变绿,180
不该,180
拯救,180
大力,180
干活,180
一块,180
高估值,180
播报,179
财报,179
热门,179
下滑,179
下个星期,179
下次,179
接力,179
违规,179
不知不觉,179
践行,179
背景,179
扯淡,179
奉劝,179
防守,179
纪念,179
赶上,178
购买,178
言,178
拉动,178
冷静,178
熊途,178
退潮,178
激励,178
无关,178
卡,178
缩水,178
进口,178
艰难,178
引起,178
普涨,178
看出,178
冬天,178
刚开始,178
入手,178
出台,177
猛拉,177
一塌糊涂,177
强调,177
规避,177
推进,177
拉回,177
登场,177
理念,177
局,177
传,177
幸好,177
太弱,177
放在,176
煤电,176
音,176
资金流,176
尴尬,176
局面,176
石化,176
高潮,176
举报,176
破发,176
好意思,176
标,175
抑,175
祝贺,175
吓死,175
传媒,175
锅,175
今明两天,175
点数,175
遇阻,174
美的,174
管理层,174
大肉,174
珍爱,174
四季,174
期望,174
晒,173
季节,173
岛,173
取,173
极度,173
衰,173
彩虹,173
无所谓,173
选好,173
差价,173
飞天,173
保卫战,173
贷款,173
坚信,172
但愿,172
随意,172
会议,172
地狱,172
过完,172
将来,172
新疆,172
T',172
签订,172
经营,172
满天飞,172
无线电,172
这辈子,172
工具,172
三角形,171
乏力,171
风向标,171
身,171
败,171
盘前,171
钟,171
疯牛,171
高送,171
飞刀,171
注入,171
铁定,171
大趋势,171
大势已去,171
电脑,171
工业化,170
叠加,170
猛跌,170
营收,170
集大成者,170
锁定,170
像是,170
跳跳,170
热烈祝贺,170
更是,170
省,170
打死,170
食品饮料,170
精密,170
啦啦,170
徘徊,170
发大财,170
中报,169
动态,169
青岛,169
自由,169
多杀多,169
四月,169
定律,169
抗跌,169
部门,169
总算,169
稳步,169
趋,169
猜想,169
申请,169
盲目,169
那句话,169
泡,169
聚焦,169
尽量,168
cm,168
证券市场,168
收回,168
卖房,168
盘点,168
中央,167
西南,167
下班,167
只不过,167
合适,167
就让,167
楼市,167
晶,167
极大,167
懵,167
产能,167
宵,167
手续费,167
tm,167
放出,166
发言,166
买票,166
埋伏,166
高估,166
一度,166
抬轿,166
当年,166
助,166
满意,166
赚大钱,166
踏实,166
忍住,166
好运,166
霄,165
利率,165
教训,165
大蓝筹,165
黄金股,165
促进,165
一切都是,165
磨人,164
初期,164
人工智能,164
像样,164
开户,164
变态,164
快进,164
易,164
还算,164
回复,164
干预,164
命运,164
视,164
核电,164
做出,164
不慌,164
读,164
台阶,164
走势图,164
高铁,164
泪,164
末,163
明星,163
周会,163
诞生,163
收盘后,163
急拉,163
忍,163
享受,163
老美,163
重估,163
互,163
行吗,163
战胜,162
放水,162
意图,162
哈工大,162
不得不,162
干净,162
线下,162
伤心,162
同步,162
腿,162
华尔街,162
早晨,162
欧菲光,162
砸出,162
撑住,162
打回,161
逆,161
尽快,161
平开,161
南海,161
想象,161
一模一样,161
便,161
高端,161
没商量,161
飞流直下,161
礼拜一,161
不入,161
男人,161
郁闷,160
逃离,160
拒绝,160
成仓,160
润,160
盯,160
事实,160
通胀,160
利空消息,160
格力,160
黎明前,160
很强,160
排除,160
大举,160
咋样,160
趺,159
消失,159
物流,159
奈何,159
上影线,159
惊人,159
中华,159
KDJ,159
美丽,159
蜗牛,159
康,158
振,158
苏宁,158
炒股票,158
拐点,158
太差,158
关键时刻,158
认知,158
怎么会,158
不确定性,157
脑壳,157
形式,157
途中,157
电影,157
主动,157
刚好,157
天一,157
蹭,157
腾讯,157
宏,157
恒生指数,157
相见,157
风能,157
内幕,157
足,157
无敌,156
何必,156
港口,156
屁股,156
能量,156
两桶油,156
洗出去,156
都涨,156
体,156
土,156
前进,156
速递,156
搬,156
开放,156
回吐,155
洋,155
泰隆,155
派发,155
抛盘,155
全力,155
快讯,155
建造,155
摩擦,155
领先,155
永,155
S,154
盯着,154
收入,154
功,154
开头,154
精神,154
韧性,154
玩意儿,154
友,154
'V,154
家伙,154
区块,154
掌握,154
紫金矿业,154
涨回来,153
集合,153
最怕,153
硬道理,153
充电桩,153
主导,153
不稳,153
争夺,153
突发,153
承包商,153
难怪,153
一起来,153
往下走,153
运动员,153
粮食,153
信仰,152
兴,152
五月,152
杀伤力,152
彩票,152
拿出,152
永不,152
这不,152
断崖,152
凸显,152
开仓,152
幸亏,152
华酒,152
小创,152
众多,152
矿业,152
主营,152
说是,152
喜迎,152
流通,151
步伐,151
不死不活,151
围,151
运动,151
心中,151
确定性,151
不争气,151
避免,151
独,151
解盘,151
循环,151
解释一下,151
结合,151
口说,151
氢,150
反对,150
堪,150
猴,150
躲过,150
小阳线,150
鱼,150
返,150
遇,150
预感,150
留给,150
极端,150
残,150
佛,150
清醒,149
粉,149
b,149
阻力位,149
闹,149
声音,149
内外,149
垂死挣扎,149
良心,149
一举,149
呆,149
啤酒,149
元宵节,149
宝宝,149
发文,149
风雨,149
干货,149
个性,149
一口气,149
再创,149
爬,149
经典,149
到时候,148
拉伸,148
死撑,148
老外,148
告别,148
角度,148
需谨慎,148
照样,148
百分,148
生存,148
铁哥,148
年轻人,148
筑,148
择机,148
超跌股,148
小牛,148
咋办,148
稍,148
显,148
盘是,147
效果,147
无可,147
个头,147
怼,147
电商,147
过分,147
好久没,147
来不及,147
英雄,147
忍不住,147
吃饱,147
舍得,147
奸笑,147
引,147
满足,147
预估,146
执行,146
追进去,146
太猛,146
回报,146
见鬼,146
林园,146
GDP,146
费,146
大众,146
周六,146
社会,146
来年,146
现阶段,146
斗,146
终,146
猫,146
良,146
飙升,146
惊吓,145
msci,145
型钢,145
维护,145
圆,145
余额,145
分之二,145
建立,145
做人,145
阳痿,145
增值,145
千年,145
羊毛,145
全红,145
盖,144
偷偷,144
技,144
掉头,144
专门,144
高科,144
天然气,144
收紧,144
麻痹,144
一片红,144
换手,144
绝地,144
钓鱼,144
景,144
a',144
咋回事,144
雁鸣,143
常,143
后果,143
妹,143
财力,143
从不,143
过度,143
基因,143
拜托,143
越好,143
足够,143
办,143
拳头,143
剧烈,143
地位,143
远远,143
得住,143
'MSCI,143
地产股,143
婴儿,143
西,143
国人,143
盘后,143
源,142
郭晶晶,142
很长,142
天内,142
玻璃,142
人才,142
承认,142
玩儿,142
走到,142
大年,142
好惨,142
歇,142
友情,142
实际上,142
逊,142
永磁,142
顶点,142
广州,142
董秘,141
醒,141
步入,141
吸血,141
排列,141
破产,141
诱骗,141
活该,141
东莞,141
狗屎,141
好处,141
看懂,140
重启,140
恨,140
物,140
很高,140
天啊,140
普通,140
伟哥,140
掐指一算,140
工,140
死死,140
五矿,140
刷,140
m,140
一坨,140
不小,140
飞机,140
同志,139
已是,139
两会,139
木,139
密切,139
好不,139
牌,139
国家能源局,139
TD,139
南下,139
飘,139
总市值,139
少动,139
集成,139
活着,139
傻子,139
太小,139
一枝独秀,139
蹲,139
回应,139
雄,138
汽,138
无需,138
钴,138
首日,138
发红包,138
到顶,138
原形,138
亮,138
保守,138
敬,138
上窜下跳,138
脸色,138
晓,138
吃到,138
海航,138
长城,137
态度,137
阿斗,137
完事,137
明早,137
不易,137
闻,137
轴,137
万物,137
收出,137
文,137
已成定局,137
杭州,137
渣,137
跑不掉,137
实战,137
气死,137
江苏,137
老白干,137
有价值,136
投降,136
拍,136
愁,136
行业龙头,136
歇菜,136
强烈建议,136
将近,136
警告,136
排,136
响,136
类似,136
钱都,136
呈,136
尾巴,136
宁波,136
前段时间,136
结局,135
战斗,135
工资,135
缠,135
调控,135
绑架,135
寻底,135
千军万马,135
爷,135
浪费时间,135
具,135
烦,135
动手,135
路演,135
拿稳,135
悲,135
拉拉,135
名字,135
没劲,135
计,135
金针,135
平静,135
羡慕,135
卧倒,135
股行情,134
骂人,134
躺,134
发电,134
去就,134
阴谋,134
半导体芯片,134
规定,134
大面积,134
寻,134
家里,134
吓得,134
江淮,134
勾引,134
看待,133
国防,133
体现,133
搏,133
赌博,133
平盘,133
下旬,133
江湖,133
想起,133
当初,133
太坏,133
勇气,133
c,133
身边,133
转向,133
矿,133
再多,133
哀嚎,133
鼠年,133
房,133
结算,133
修正,133
听到,133
曝光,133
长虹,133
留点,133
保不住,133
进货,132
欣泰,132
制造业,132
技巧,132
仔,132
胆小,132
亏本,132
吓跑,132
流氓,132
百分点,132
净值,132
奥利,132
家电,132
周日,132
斌,132
分布,132
弱弱,132
B',132
皮,132
高高在上,132
心得,132
缺席,131
弃,131
敢死队,131
海通,131
十一月,131
月初,131
国资,131
大会,131
启,131
送钱,131
话说,131
困难,131
二线,131
老婆,131
债券,131
甩,131
复杂,130
留言,130
大坑,130
碧桂园,130
几率,130
疑,130
劫,130
来点,130
生意,130
诈骗,130
税,130
拉回来,130
欺,130
机制,130
估,130
全景,130
无非,130
鸡蛋,129
相反,129
终结,129
巿,129
牛人,129
该死,129
跨年度,129
墙,129
哥哥,129
老鸭,129
活动,129
冲刺,129
摇摇欲坠,129
敢不敢,129
贪心,129
差一点,129
假象,128
有一点,128
有点像,128
损,128
行不行,128
表明,128
正当时,128
提速,128
相当于,128
筛选,128
明月,128
开发,128
凶多吉少,128
几倍,128
答案,128
净利,127
热轧,127
酒业,127
应用,127
产,127
兔子,127
争,127
没看,127
马车,127
算不算,127
更待何时,127
子公司,127
承诺,127
河,127
再加,127
来得,127
终究,127
高人,127
异常,127
石家庄,127
会上,127
跑去,127
密集,127
接回,127
老百姓,127
金牛,126
对手,126
交割日,126
农历,126
没完没了,126
具体,126
支撑点,126
查查,126
憋,126
唯,126
轮番,126
卓创,126
搞不好,126
史上,126
使用,126
凭什么,126
回答,126
伸手,126
自信,126
状况,126
缺乏,126
聊聊,126
大连,126
掉下来,126
指导,125
仅供参考,125
动不动,125
格林,125
交割,125
昙花一现,125
自娱自乐,125
加强,125
对应,125
珠宝,125
判,125
下雨,125
用力,125
系统性,125
乌龙指,125
金台,125
虚假,124
李大,124
捡便宜,124
快手,124
看着办,124
云南,124
露,124
统一,124
马后炮,124
止不住,124
温和,124
受阻,124
形容,124
趴,124
梦之队,124
又创新高,124
拉出,124
还给,124
最差,124
尊重,123
射,123
来得及,123
暴涨暴跌,123
敢看,123
报价,123
立即,123
账,123
真理,123
散散,123
国盛,123
小股,123
账号,122
再好,122
实业,122
TMD,122
必死,122
唯独,122
河北,122
客户,122
狐,122
市净率,122
不见不散,122
一鼓作气,122
挑,122
糖,122
三阳,122
作死,122
浮云,122
横着,122
赢家,122
何去何从,122
酒鬼酒,122
物联网,122
农,122
华银,122
目测,122
低买,122
走进,122
股本,122
电源,122
西藏,121
昨天晚上,121
别问,121
金融市场,121
代码,121
出不来,121
电器,121
手段,121
更高,121
不长,121
网友,121
猜测,121
预言,121
堵,121
服气,121
天地,121
梳理,121
脑子,121
找死,121
苏州,120
麻,120
局部,120
后来,120
清空,120
打卡,120
以往,120
倒下,120
浮亏,120
扩容,120
毁,120
哈欠,120
数钱,120
不太好,120
国泰君安,120
范围,120
不受,120
付出,120
感觉到,120
纵观,120
前奏,120
蓄势待发,120
新龙头,120
脾气,120
镰刀,120
了结,120
到点,120
取得,120
谢,120
暴增,120
平安银行,120
只好,120
成都,120
中枢,120
等会,120
锐,120
详细,120
吃相,120
中间,120
溢价,119
绩差股,119
如期而至,119
喝点,119
基调,119
惊天,119
昏,119
星期六,119
肥,119
抛出,119
事实证明,119
热度,119
未必,118
熘,118
中国石油,118
高标,118
缓,118
团队,118
吐槽,118
浙江,118
迈,118
明智,118
大行,118
定投,118
欠,118
长期投资,118
历害,118
巨无霸,118
费劲,118
涨大,118
谈谈,118
灭,118
内心,118
系列,118
卸载,118
长时间,118
趴着,118
卖空,118
坐庄,117
无情,117
奏乐,117
无脑,117
波浪,117
抢跑,117
宽幅,117
悲催,117
轮胎,117
王石,117
盆,117
真相,117
吐血,117
烟,117
顽强,117
帅,117
有时候,117
炒房,117
知识,117
高歌猛进,117
睡不着,117
挂单,117
贵金属,117
不赔,117
